channel,roi_id,time_s,time_index,theta_deg,velocity
0,1,0.0099278046230389,32.0,123.25,-10.82844868702204
0,1,0.0148917069345584,48.0,124.75,-11.457646398084156
0,1,0.0198556092460778,64.0,125.0,-11.564718050431338
0,1,0.0248195115575973,80.0,27.0,32.4147283489883
0,1,0.0297834138691168,96.0,0.0,
0,1,0.0347473161806362,112.0,126.75,-12.33317851307308
0,1,0.0397112184921557,128.0,120.5,-9.728743497010395
0,1,0.0446751208036752,144.0,118.5,-8.96752639402838
0,1,0.0496390231151946,160.0,118.0,-8.78178158098959
0,1,0.0546029254267141,176.0,118.75,-9.061058669446892
0,1,0.0595668277382336,192.0,121.5,-10.121096887988552
0,1,0.0645307300497531,208.0,132.25,-15.002195347878637
0,1,0.0694946323612725,224.0,132.0,-14.871189376790134
0,1,0.074458534672792,240.0,127.5,-12.673271543394444
0,1,0.0794224369843115,256.0,127.0,-12.44579592427841
0,1,0.0843863392958309,272.0,129.25,-13.494243425208357
0,1,0.0893502416073504,288.0,131.0,-14.357251927803484
0,1,0.0943141439188699,304.0,125.5,-11.780840347202156
0,1,0.0992780462303893,320.0,119.75,-9.439745442935289
0,1,0.1042419485419088,336.0,90.0,1.0113212276829757e-15
0,1,0.1092058508534283,352.0,90.0,1.0113212276829757e-15
0,1,0.1141697531649477,368.0,119.0,-9.155039817542509
0,1,0.1191336554764672,384.0,117.75,-8.689555843997468
0,1,0.1240975577879867,400.0,117.75,-8.689555843997468
0,1,0.1290614600995062,416.0,129.25,-13.494243425208357
0,1,0.1340253624110256,432.0,134.75,-16.372623865310615
0,1,0.1389892647225451,448.0,135.0,-16.516129032258064
0,1,0.1439531670340646,464.0,109.5,-5.848668036636049
0,1,0.148917069345584,480.0,114.25,-7.439973635151261
0,1,0.1538809716571035,496.0,112.25,-6.756926784870561
0,1,0.158844873968623,512.0,110.75,-6.257401537161319
0,1,0.1638087762801424,528.0,90.0,1.0113212276829757e-15
0,1,0.1687726785916619,544.0,90.0,1.0113212276829757e-15
0,1,0.1737365809031814,560.0,111.5,-6.505876242414532
0,1,0.1787004832147009,576.0,111.75,-6.589267339953045
0,1,0.1836643855262203,592.0,110.5,-6.175127609555483
0,1,0.1886282878377398,608.0,111.25,-6.422771313184861
0,1,0.1935921901492593,624.0,123.0,-10.72569960377824
0,1,0.1985560924607787,640.0,112.75,-6.925787693557871
0,1,0.2035199947722982,656.0,112.0,-6.672949278309689
0,1,0.2084838970838177,672.0,109.5,-5.848668036636049
0,1,0.2134477993953371,688.0,110.25,-6.093121686459079
0,1,0.2184117017068566,704.0,111.0,-6.339947933488159
0,1,0.2233756040183761,720.0,109.75,-5.929896242819002
0,1,0.2283395063298955,736.0,113.0,-7.010680835461862
0,1,0.233303408641415,752.0,115.25,-7.789512155189201
0,1,0.2382673109529345,768.0,123.0,-10.72569960377824
0,1,0.243231213264454,784.0,90.0,1.0113212276829757e-15
0,1,0.2481951155759734,800.0,116.0,-8.055454365991006
0,1,0.2531590178874929,816.0,110.5,-6.175127609555483
0,1,0.2581229201990124,832.0,114.0,-7.3534544154184065
0,1,0.2630868225105318,848.0,114.75,-7.614039773767324
0,1,0.2680507248220513,864.0,117.75,-8.689555843997468
0,1,0.2730146271335708,880.0,119.0,-9.155039817542509
0,1,0.2779785294450902,896.0,119.25,-9.249476681894436
0,1,0.2829424317566097,912.0,122.25,-10.420901349314994
0,1,0.2879063340681292,928.0,123.5,-10.931787333296583
0,1,0.2928702363796487,944.0,120.25,-9.631921769653356
